,ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor
96,Acre1831,Israel,32.933052,35.082678,7,Acre,1831,"['Egyptian', 'War                                          ', 'Egyptian', 'Turkish', 'Syria', 'Gaza', 'Jaffa', 'Jerusalem', 'Anatolia', 'Turks']",1st Turko-Egyptian War,Egypt,Turkey,Egypt,Turkey,2,Land,,No,"Encyclopedia of Warfare, Amber Books, London, 2014, p594. Assuming Ibrahim Pasha's force to be roughly similar in size to the force at the subsequent battle of Konya, and the attackers to outnumber the defenders",,
97,,,,,NA,,,,,,,,,,,,,,,
98,Acropolis1821,Greece,37.9715323,23.7257492,7,Acropolis,1821,[],Greek War of Independence,Greek Rebels,Greek Muslims,Greek Rebels,Greek Muslims,1,Land,,Yes,,,
99,,,,,NA,,,,,,,,,,,,,,,
100,Acropolis1826-1827,Greece,37.9715323,23.7257492,7,Acropolis,1826,"['Athens', 'Acropolis', 'Yannis', 'British', 'Acropolis', 'Chaidari', 'Turkey', 'Greece']",['Greek War'],Ottoman Empire,Greek Rebels,Ottoman Empire,Greek Rebels,2,Land,,Battle followed by massacre,"Clodfelter, Warfare and Armed Conflict, p191",,
101,,,,,NA,,,,,,,,,,,,,,,
102,Acs1849,Hungary,47.7112968,18.0103464,7,Acs,1849,"['Hungarian', 'Austria', 'Hungary', 'Russia', 'Hungarian', 'Komarom', 'Budapest', 'Temesvar']",Hungarian Revolutionary War,Draw,,Hungarian Rebels,"Russia, Austria",3,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p650. Assuming army sizes broadly similar to those at Temesvar later in the year (same commanders and sides)",,
103,,,,,NA,,,,,,,,,,,,,,,
104,Actium-31,Greece,38.9176738,20.797808,7,Actium,-31,"['Roman', 'Octavians', 'Greece', 'Preveza', 'Antonys', 'Egypt']",Wars of the Second Triumvirate,Octavians' Forces,Mark Anthony's Army,Octavians' Forces,Mark Anthony's Army,3,Sea,,No,"https://www.britannica.com/event/Battle-of-Actium-ancient-Roman-history; Warfare in the Classical World, John Warry, 1980, p185",1,
105,,,,,NA,,,,,,,,,,,,,,,
106,Aculco1810,Mexico,20.0985989,-99.8275861,7,Aculco,1810,"['Mexican', 'Mexico City', 'Guadalajara', 'Royalist']",Mexican War of Independence,Spain,Mexican Rebels,Spain,Mexican Rebels,4,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p560. Assuming Hidalgo's force to be approximately similar to that fielded at Calderon Bridge early the following year",,
107,,,,,NA,,,,,,,,,,,,,,,
108,Acultzingo1862,Mexico,18.7156563,-97.3077659,8,Acultzingo,1862,"['Mexican', 'French', 'Mexico', 'Acultzingo', 'Mexican', 'French']",Mexican-French War,France,Mexican Liberals,France,Mexican Liberals,2,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p663. Harbottle's Dictionary of Battles, George Bruce, 1979, p10-11",,
109,,,,,NA,,,,,,,,,,,,,,,
110,Adairsville1864,United States,34.3687021,-84.9341093,8,Adairsville,1864,"['Georgia', 'Atlanta', 'Chattanooga', 'Calhoun', 'Cassville', 'Dallas']",American Civil War,United States,Confederate States of America,United States,Confederate States of America,,Land,,No,,,
111,,,,,NA,,,,,,,,,,,,,,,
112,Adana964,Turkey,36.9914194,35.3308285,8,Adana,964,"['Muslim', 'Syria', 'Muslims', 'Asia Minor', 'Cilician', 'Adana', 'Turkey', 'Syria']",Later Byzantine-Muslim Wars,Byzantium,Hamdanid Dynasty,Byzantium,Hamdanid Dynasty,3,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p187. Assuming Byzantine force to be similar in size to army also commanded by the Emperor which invaded Crete three years earlier",,
113,,,,,NA,,,,,,,,,,,,,,,
114,Adas1775,India,22.4952782,72.9436393,8,Adas,1775,"['Poona', 'Kasegaum']",Maratha Wars of Succession,Poona,Peshwa Ragunath Rao,Poona,Peshwa Ragunath Rao,,Land,,No,,,
115,,,,,NA,,,,,,,,,,,,,,,
116,Adas1775(2nd),India,22.4952782,72.9436393,8,Adas,1775,"['British', 'Napar']",1st British Maratha War,United Kingdom,Marathas,United Kingdom,Marathas,3,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p24",,
117,,,,,NA,,,,,,,,,,,,,,,
118,Adasa-161,Israel,31.877519,35.1230051,8,Adasa,-161,"['Jerusalem', 'Hebrew']",['Maccabean War        '],Hebrews,Seleucid Empire,Hebrews,Seleucid Empire,,Land,,No,,,
119,,,,,NA,,,,,,,,,,,,,,,
120,Adda-223,Italy,45.8012456,9.3249373,8,Adda,-223,"['Italy', 'Italy', 'Roman']",Gallic Wars in Italy,Rome,Insubrian Gauls,Rome,Insubrian Gauls,,Land,,No,,,
121,,,,,NA,,,,,,,,,,,,,,,
122,Adda490,Italy,45.8012456,9.3249373,8,Adda,490,"['German', 'Italy', 'Sontius', 'Verona', 'Ravenna']",Goth invasion of Italy,Ostrogoths,German kingdom of Italy,Ostrogoths,German kingdom of Italy,,Land,,No,,,
123,,,,,NA,,,,,,,,,,,,,,,
124,Ad Decimum533,Tunisia,36.8592738,10.3137703,9,Ad Decimum,533,"['North Africa', 'Romans']",Vandal War in Africa,Byzantium,Vandal Kingdom in Africa,Byzantium,Vandal Kingdom in Africa,4,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p167-168. States that 10-12,000 Vandals were killed but that the majority of the army 'remainded intact', which implies an original strength of over 20,000. Roman strength 8,000. Hutchinson Dictionary of Ancient and Medieval Warfare, 'Ad Decimum, Battle of'; Harbottle's Dictionary of Battles, p59, gives the Vandal strength at 160,000 approx.",,
125,,,,,NA,,,,,,,,,,,,,,,
126,Addis Ababa1936,Ethiopia,8.9806034,38.7577605,9,Addis Ababa,1936,"['Ogaden', 'Italian', 'Addis Ababa']",2nd Italo-Ethiopian War,Italy,Ethiopia,Italy,Ethiopia,3,Land,,Battle followed by massacre,"Clodfelter, Warfare and Armed Conflict, p355",1,
127,,,,,NA,,,,,,,,,,,,,,,
128,Addis Ababa1941,Ethiopia,8.9806034,38.7577605,9,Addis Ababa,1941,"['Addis Ababa', 'Northern Africa', 'British', 'Ethiopia', 'Kenya', 'Italian', 'Addis Ababa', 'Italians', 'Addis Ababa']",['World War II'],United Kingdom,Italy,United Kingdom,Italy,3,Land,,No,"Clodfelter, Warfare and Armed Conflict, p441",,
129,,,,,NA,,,,,,,,,,,,,,,
130,Addis Ababa1991,Ethiopia,8.9806034,38.7577605,9,Addis Ababa,1991,"['Addis Ababa', 'Ethiopian', 'Eritrea', 'Addis Ababa', 'Tigrayan']",2nd Ethiopian Civil War,Ethiopian Rebels,Ethiopia,Ethiopian Rebels,Ethiopia,,Land,,No,,,
131,,,,,NA,,,,,,,,,,,,,,,
132,Aden1513,Yemen,12.7854969,45.0186548,9,Aden,1513,"['Portuguese', 'Arabia', 'Portuguese', 'Aden', 'Portugal', 'Hormuz', 'Aden', 'Ottomans']",Portuguese Wars in Africa,Ottoman Empire,Portugal,Ottoman Empire,Portugal,,Land,,No,,,
133,,,,,NA,,,,,,,,,,,,,,,
134,Aden1839,Yemen,12.7854969,45.0186548,9,Aden,1839,"['Anglo', 'Aden', 'Yemen', 'British', 'British', 'India', 'Aden', 'British']",Anglo-Arab Wars,United Kingdom,Yemen,United Kingdom,Yemen,1,Land,,No,,,
135,,,,,NA,,,,,,,,,,,,,,,
136,Aden1986,Yemen,12.7854969,45.0186548,9,Aden,1986,"['Aden', 'Yemeni', 'Yemen', 'Aden']",Yemeni Civil Wars,Draw,,Yemen Government,Yemen Rebels,,Land,,No,,,
137,,,,,NA,,,,,,,,,,,,,,,
138,Aden1994,Yemen,12.7854969,45.0186548,9,Aden,1994,"['Aden', 'Yemeni', 'North and South Yemen', 'a Democratic Republic of Yemen']",Yemeni Civil Wars,Yemen,Democratic Republic of Yemen,,,,Land,,No,,,
139,,,,,NA,,,,,,,,,,,,,,,
140,Adibo1896,Ghana,9.3069629,0.0229168,10,Adibo,1896,"['German', 'German', 'Togoland', 'Ghana', 'German']",German Colonial Wars in Africa,Germany,Dagomba Tribesmen,Germany,Dagomba Tribesmen,1,Land,,No,,,
141,,,,,NA,,,,,,,,,,,,,,,
142,Adige-102,Italy,45.9056808,10.3153889,10,Adige,-102,"['Gaul', 'Roman', 'Italy']",Rome's Gallic Wars,Cimbri Gauls,Rome,Cimbri Gauls,Rome,,Land,,No,,,
143,,,,,NA,,,,,,,,,,,,,,,
,Adigrat1935,Ethiopia,14.276944,39.460833,"Showalter, p796-797",Adigrat,1935,,2nd Italo-Ethiopian War,Italy,Ethiopia,,,4,Land,,No,,"Encyclopedia of Warfare, Showalter, 2014, p796-7",
,,,,,,,,,,,,,,,,,,,,
144,Adiliya1218,Egypt,31.3948239,31.7546821,10,Adiliya,1218,"['Egypt', 'Palestine', 'Damietta']",5th Crusade,"Kingdom of Jerusalem, European Crusaders",Ayyubid Caliphate,"Kingdom of Jerusalem, European Crusaders",Ayyubid Caliphate,,Land,,No,,,
145,,,,,NA,,,,,,,,,,,,,,,
